backbone_id,replicate_seed,usalign_rmsd_base,usalign_rmsd_marslike,full_length_kabsch_rmsd_base,full_length_kabsch_rmsd_marslike,tm_score_base,tm_score_marslike,gdt_ts_base,gdt_ts_marslike,mean_plddt_base,mean_plddt_marslike,ptm_base,ptm_marslike,surface_STNQDE_ratio_base,surface_STNQDE_ratio_marslike,surface_STNQDE_abs_distance_base,surface_STNQDE_abs_distance_marslike,surface_MC_ratio_base,surface_MC_ratio_marslike,surface_MC_abs_distance_base,surface_MC_abs_distance_marslike,sequence_recovery_pct_base,sequence_recovery_pct_marslike,novelty_excl_parent_pct_base,novelty_excl_parent_pct_marslike,aggregate_six_label_score_base,aggregate_six_label_score_marslike,six_label_distance_to_reference_base,six_label_distance_to_reference_marslike,delta_usalign_rmsd,improvement_usalign_rmsd,delta_full_length_kabsch_rmsd,improvement_full_length_kabsch_rmsd,delta_tm_score,improvement_tm_score,delta_gdt_ts,improvement_gdt_ts,delta_mean_plddt,improvement_mean_plddt,delta_ptm,improvement_ptm,delta_surface_STNQDE_ratio,improvement_surface_STNQDE_ratio,delta_surface_STNQDE_abs_distance,improvement_surface_STNQDE_abs_distance,delta_surface_MC_ratio,improvement_surface_MC_ratio,delta_surface_MC_abs_distance,improvement_surface_MC_abs_distance,delta_sequence_recovery_pct,improvement_sequence_recovery_pct,delta_novelty_excl_parent_pct,improvement_novelty_excl_parent_pct,delta_aggregate_six_label_score,improvement_aggregate_six_label_score,delta_six_label_distance_to_reference,improvement_six_label_distance_to_reference
0007,42,4.33,4.47,7.45945719427765,7.151283013273841,0.7789,0.77128,48.648648648648646,47.43243243243244,96.47926092147829,95.1191782951355,0.6899452805519104,0.7096291184425354,0.3231707317073171,0.4012345679012346,0.1332857247491393,0.0552218885552218,0.0,0.0030864197530864,0.015015015015015,0.0119285952619285,47.387387387387385,49.18918918918919,76.92307692307692,82.05128205128204,0.6091508865356445,0.5254262288411459,1.678964944542262,1.7630707436737603,0.13999999999999968,-0.13999999999999968,-0.30817418100380944,0.30817418100380944,-0.007620000000000071,-0.007620000000000071,-1.2162162162162033,-1.2162162162162033,-1.3600826263427876,-1.3600826263427876,0.019683837890625,0.019683837890625,0.07806383619391749,,-0.07806383619391749,0.07806383619391749,0.0030864197530864,,-0.0030864197530864994,0.0030864197530864994,1.8018018018018083,,5.128205128205124,5.128205128205124,-0.08372465769449866,-0.08372465769449866,0.08410579913149818,-0.08410579913149818
0007,43,4.57,4.86,5.457749365930517,11.72244507884964,0.77609,0.66381,41.62162162162162,32.16216216216216,95.8910346031189,95.34595608711244,0.7146238088607788,0.7035223841667175,0.3664596273291925,0.3707165109034268,0.0899968291272638,0.0857399455530296,0.0062111801242236,0.0031152647975077,0.0088038348907914,0.0118997502175072,47.927927927927925,50.63063063063064,76.92307692307692,73.07692307692308,0.5238842964172363,0.5878547032674154,1.7593999856911833,1.7092500469596048,0.29000000000000004,-0.29000000000000004,6.264695712919123,-6.264695712919123,-0.11227999999999994,-0.11227999999999994,-9.45945945945946,-9.45945945945946,-0.5450785160064555,-0.5450785160064555,-0.01110142469406128,-0.01110142469406128,0.00425688357423426,,-0.004256883574234191,0.004256883574234191,-0.0030959153267159003,,0.0030959153267157997,-0.0030959153267157997,2.702702702702716,,-3.8461538461538396,-3.8461538461538396,0.06397040685017907,0.06397040685017907,-0.05014993873157847,0.05014993873157847
0007,44,3.72,3.33,3.7924129204837023,5.179835667982281,0.85792,0.84792,53.06306306306307,53.73873873873874,95.96669673919678,95.09325623512268,0.7091876268386841,0.6745894551277161,0.3597560975609756,0.3685800604229607,0.0967003588954808,0.0878763960334957,0.0030487804878048,0.0030211480362537,0.0119662345272101,0.0119938669787612,45.22522522522522,47.74774774774775,78.84615384615384,81.35593220338983,0.5720815658569336,0.5025165875752767,1.6922360485044743,1.783643054818596,-0.3900000000000001,0.3900000000000001,1.3874227474985785,-1.3874227474985785,-0.010000000000000009,-0.010000000000000009,0.6756756756756701,0.6756756756756701,-0.8734405040740967,-0.8734405040740967,-0.03459817171096802,-0.03459817171096802,0.008823962861985113,,-0.008823962861985099,0.008823962861985099,-2.7632451551099987e-05,,2.7632451551099987e-05,-2.7632451551099987e-05,2.5225225225225287,,2.5097783572359873,2.5097783572359873,-0.06956497828165686,-0.06956497828165686,0.09140700631412169,-0.09140700631412169
0014,42,3.61,3.69,14.479010878233796,13.324302762422466,0.56551,0.56783,1.257861635220126,0.0,83.19709897041321,91.09751582145692,0.5943611860275269,0.6278480887413025,0.0129032258064516,0.0754716981132075,0.4807676602694978,0.4181991879627418,0.0,0.0062893081761006,0.0822784810126582,0.0759891728365576,6.918238993710692,11.949685534591197,34.117647058823536,61.29032258064516,0.7352294921875,0.8553873697916666,0.6266518110908843,0.5774515206573538,0.08000000000000007,-0.08000000000000007,-1.1547081158113297,1.1547081158113297,0.0023199999999999887,0.0023199999999999887,-1.257861635220126,-1.257861635220126,7.900416851043715,7.900416851043715,0.033486902713775635,0.033486902713775635,0.0625684723067559,,-0.062568472306756,0.062568472306756,0.0062893081761006,,-0.0062893081761006,0.0062893081761006,5.031446540880505,,27.172675521821624,27.172675521821624,0.12015787760416663,0.12015787760416663,-0.04920029043353047,0.04920029043353047
0014,43,3.16,3.81,11.999884109940387,11.411034192240145,0.57084,0.62818,48.42767295597484,15.566037735849056,85.44622659683228,87.85163164138794,0.6357461214065552,0.6280288100242615,0.0131578947368421,0.0714285714285714,0.4805129913391073,0.4222423146473779,0.0,0.0,0.0822784810126582,0.0822784810126582,6.918238993710692,8.80503144654088,31.764705882352946,50.0,0.7457071940104166,0.8059895833333334,0.5769453199590867,0.7667979972790333,0.6499999999999999,-0.6499999999999999,-0.5888499177002426,0.5888499177002426,0.05733999999999995,0.05733999999999995,-32.861635220125784,-32.861635220125784,2.405405044555664,2.405405044555664,-0.007717311382293701,-0.007717311382293701,0.0582706766917293,,-0.05827067669172942,0.05827067669172942,0.0,,0.0,-0.0,1.8867924528301883,,18.235294117647054,18.235294117647054,0.06028238932291674,0.06028238932291674,0.1898526773199466,-0.1898526773199466
0014,44,3.93,3.84,9.507269690390103,6.664945662714639,0.63133,0.66635,0.7861635220125787,20.44025157232705,87.06070184707642,91.78159832954408,0.6407550573348999,0.6288996934890747,0.1835443037974683,0.0943396226415094,0.310126582278481,0.3993312634344399,0.0,0.0062893081761006,0.0822784810126582,0.0759891728365576,4.40251572327044,14.465408805031446,57.86163522012578,54.11764705882353,0.8128865559895834,0.7220052083333334,0.3586262815446084,0.8356716861973565,-0.0900000000000003,0.0900000000000003,-2.842324027675464,2.842324027675464,0.03502000000000005,0.03502000000000005,19.65408805031447,19.65408805031447,4.720896482467666,4.720896482467666,-0.011855363845825195,-0.011855363845825195,-0.0892046811559589,,0.08920468115595892,-0.08920468115595892,0.0062893081761006,,-0.0062893081761006,0.0062893081761006,10.062893081761006,,-3.743988161302248,-3.743988161302248,-0.09088134765625,-0.09088134765625,0.47704540465274814,-0.47704540465274814
0026,42,3.41,1.61,4.208272971847308,18.077842720195008,0.79208,0.68826,61.90476190476191,61.81972789115647,95.4209327697754,96.03782296180724,0.7312576174736023,0.8373715877532959,0.3441558441558441,0.3680981595092024,0.015123586091328,0.0390659014446863,0.0,0.0061349693251533,0.032258064516129,0.0261230951909756,48.63945578231292,49.65986394557823,81.17647058823529,74.11764705882352,0.6907552083333334,0.7523600260416666,1.280401030001305,1.056724700121307,-1.8,1.8,13.8695697483477,-13.8695697483477,-0.10382000000000002,-0.10382000000000002,-0.08503401360544416,-0.08503401360544416,0.6168901920318319,0.6168901920318319,0.1061139702796936,0.1061139702796936,0.02394231535335828,,0.0239423153533583,-0.0239423153533583,0.0061349693251533,,-0.006134969325153398,0.006134969325153398,1.0204081632653086,,-7.058823529411768,-7.058823529411768,0.06160481770833326,0.06160481770833326,-0.22367632987999797,0.22367632987999797
0026,43,3.27,1.79,3.591522910719966,10.859099275702516,0.82957,0.69215,64.20068027210884,64.54081632653062,95.10178565979004,93.17842721939088,0.7625016570091248,0.8068845868110657,0.3518518518518518,0.3636363636363636,0.0228195937873357,0.0346041055718475,0.0,0.0069930069930069,0.032258064516129,0.025265057523122,47.27891156462585,50.68027210884354,79.26829268292683,74.11764705882352,0.6831130981445312,0.6762491861979166,1.291288572885498,1.113453239406759,-1.48,1.48,7.267576364982549,-7.267576364982549,-0.13742,-0.13742,0.34013605442177663,0.34013605442177663,-1.9233584403991557,-1.9233584403991557,0.04438292980194092,0.04438292980194092,0.011784511784511786,,0.011784511784511804,-0.011784511784511804,0.0069930069930069,,-0.006993006993006996,0.006993006993006996,3.401360544217688,,-5.150645624103305,-5.150645624103305,-0.00686391194661462,-0.00686391194661462,-0.1778353334787388,0.1778353334787388
0026,44,3.33,1.74,4.922727453355177,11.822917981556584,0.7731,0.69793,60.204081632653065,62.75510204081633,95.34749984741212,93.09076070785522,0.8015139698982239,0.7511171102523804,0.3670886075949367,0.3552631578947368,0.0380563495304205,0.0262308998302207,0.0,0.006578947368421,0.032258064516129,0.0256791171477079,48.63945578231292,48.97959183673469,69.41176470588235,74.24242424242425,0.6996256510416666,0.7246907552083334,1.2948125272355793,1.2410628547842768,-1.59,1.59,6.900190528201407,-6.900190528201407,-0.07516999999999996,-0.07516999999999996,2.551020408163268,2.551020408163268,-2.256739139556899,-2.256739139556899,-0.050396859645843506,-0.050396859645843506,-0.011825449700199941,,-0.011825449700199803,0.011825449700199803,0.006578947368421,,-0.006578947368421097,0.006578947368421097,0.34013605442176953,,4.830659536541901,4.830659536541901,0.02506510416666674,0.02506510416666674,-0.053749672451302466,0.053749672451302466
0049,42,2.14,3.65,2.142892265931882,3.794461677615444,0.88078,0.73498,75.67204301075269,57.93010752688171,84.09635424613953,80.68425059318542,0.8018444180488586,0.7476407885551453,0.1454545454545454,0.1864406779661017,0.0563803169307756,0.0153941844192194,0.009090909090909,0.0169491525423728,0.0184320266889074,0.0105737832374436,42.473118279569896,34.40860215053764,81.25,78.82352941176471,0.6183268229166666,0.695556640625,0.8185790502280892,0.6602256332141931,1.5099999999999998,-1.5099999999999998,1.6515694116835617,-1.6515694116835617,-0.14580000000000004,-0.14580000000000004,-17.741935483870975,-17.741935483870975,-3.4121036529541016,-3.4121036529541016,-0.05420362949371338,-0.05420362949371338,0.040986132511556306,,-0.0409861325115562,0.0409861325115562,0.007858243451463801,,-0.007858243451463801,0.007858243451463801,-8.064516129032256,,-2.42647058823529,-2.42647058823529,0.07722981770833337,0.07722981770833337,-0.15835341701389605,0.15835341701389605
