method,prediction_id,backbone_id,replicate_seed,sequence_id,max_train_identity_pct,novelty_pct,parent_train_matches_excluded,max_train_identity_excl_parent_pct,novelty_excl_parent_pct
base,0007_s42,0007,42,MERGED50_00538e3d3aaa3d6f,47.387387387387385,52.612612612612615,1,23.076923076923077,76.92307692307692
base,0014_s42,0014,42,MERGED50_00960edc244d6936,65.88235294117646,34.117647058823536,1,65.88235294117646,34.117647058823536
base,0026_s42,0026,42,MERGED50_01555fa6eafb7d2c,48.63945578231292,51.36054421768708,1,18.823529411764707,81.17647058823529
base,0049_s42,0049,42,MERGED50_01f6191909c12582,42.473118279569896,57.526881720430104,1,18.75,81.25
base,0060_s42,0060,42,MERGED50_02789cf56cfe470e,41.94915254237288,58.05084745762712,1,18.30065359477124,81.69934640522877
base,0062_s42,0062,42,MERGED50_027d6e4c848d477f,47.76119402985074,52.23880597014926,1,34.32835820895522,65.67164179104478
base,0076_s42,0076,42,MERGED50_031227644f417472,19.047619047619047,80.95238095238095,1,19.047619047619047,80.95238095238095
base,0095_s42,0095,42,MERGED50_039f7f97d6a3c675,48.46153846153846,51.53846153846154,1,18.181818181818183,81.81818181818181
base,0115_s42,0115,42,MERGED50_0483a84717ba7c09,52.851711026615966,47.148288973384034,1,14.117647058823529,85.88235294117646
base,0128_s42,0128,42,MERGED50_0526a532f220d305,30.0,70.0,1,16.94915254237288,83.05084745762713
base,0146_s42,0146,42,MERGED50_058ff628f55c60bd,35.53719008264463,64.46280991735537,1,19.35483870967742,80.64516129032258
base,0153_s42,0153,42,MERGED50_05e7ce7c21138c84,41.9753086419753,58.0246913580247,1,17.28395061728395,82.71604938271605
base,0154_s42,0154,42,MERGED50_05ee505c0890be93,46.3768115942029,53.6231884057971,1,18.91891891891892,81.08108108108108
base,0161_s42,0161,42,MERGED50_065c19bc89459e45,49.1442542787286,50.8557457212714,1,16.581632653061224,83.41836734693878
base,0168_s42,0168,42,MERGED50_06a12fd13da4b18f,50.847457627118644,49.152542372881356,1,50.847457627118644,49.152542372881356
base,0173_s42,0173,42,MERGED50_06e0ce45faa2300e,14.705882352941178,85.29411764705883,0,14.705882352941178,85.29411764705883
base,0193_s42,0193,42,MERGED50_07caf313bb701744,44.73684210526316,55.26315789473684,1,28.846153846153843,71.15384615384616
base,0219_s42,0219,42,MERGED50_08e1702b30b0f09c,43.79562043795621,56.20437956204379,1,19.230769230769234,80.76923076923077
base,0226_s42,0226,42,MERGED50_094b778065c65c35,50.3875968992248,49.6124031007752,1,15.503875968992247,84.49612403100775
base,0233_s42,0233,42,MERGED50_09a520585822845f,30.061349693251532,69.93865030674847,0,30.061349693251532,69.93865030674847
base,0238_s42,0238,42,MERGED50_09d9b86c8b350f2a,43.67816091954023,56.32183908045977,1,17.105263157894736,82.89473684210526
base,0240_s42,0240,42,MERGED50_09e114f801018c6c,15.384615384615385,84.61538461538461,0,15.384615384615385,84.61538461538461
base,0250_s42,0250,42,MERGED50_0a49468648918912,44.84848484848485,55.15151515151515,1,17.105263157894736,82.89473684210526
base,0264_s42,0264,42,MERGED50_0b1c7324369420a6,48.58757062146893,51.41242937853107,1,18.75,81.25
base,0265_s42,0265,42,MERGED50_0b1c8aab99a595dc,33.82352941176471,66.17647058823529,1,33.82352941176471,66.17647058823529
base,0268_s42,0268,42,MERGED50_0b3505f5c7eaceb1,15.573770491803279,84.42622950819673,0,15.573770491803279,84.42622950819673
base,0269_s42,0269,42,MERGED50_0b461283e22ec4f1,53.50553505535055,46.49446494464945,1,20.33898305084746,79.66101694915254
base,0291_s42,0291,42,MERGED50_0c238de54c93eab9,35.63218390804598,64.36781609195401,1,26.923076923076923,73.07692307692308
base,0298_s42,0298,42,MERGED50_0c8a799f6fad03c5,41.53225806451613,58.46774193548387,1,17.391304347826086,82.6086956521739
base,0312_s42,0312,42,MERGED50_0d623c3b17aa9567,42.57425742574257,57.42574257425743,1,17.28395061728395,82.71604938271605
base,0321_s42,0321,42,MERGED50_0d91deb0064e476e,33.13953488372093,66.86046511627907,1,17.80821917808219,82.1917808219178
base,0356_s42,0356,42,MERGED50_0eb140e1138dc275,26.153846153846157,73.84615384615384,1,15.824175824175823,84.17582417582418
base,0358_s42,0358,42,MERGED50_0edbf16d015abee1,53.64238410596026,46.35761589403974,1,15.441176470588236,84.55882352941177
base,0369_s42,0369,42,MERGED50_0f37f8ab707a10f3,37.89473684210527,62.10526315789473,1,17.894736842105264,82.10526315789474
base,0370_s42,0370,42,MERGED50_0f486e8365e01e63,39.189189189189186,60.810810810810814,1,14.723926380368098,85.2760736196319
base,0376_s42,0376,42,MERGED50_0f74b2e17c74782f,15.384615384615385,84.61538461538461,0,15.384615384615385,84.61538461538461
base,0384_s42,0384,42,MERGED50_0fb6d2e63819c3ec,26.77165354330709,73.22834645669292,1,18.11023622047244,81.88976377952756
base,0391_s42,0391,42,MERGED50_0ffe5db354153f99,48.1651376146789,51.8348623853211,1,20.588235294117645,79.41176470588235
base,0398_s42,0398,42,MERGED50_103b52af36a2c9b9,44.07894736842105,55.92105263157895,1,18.84057971014493,81.15942028985506
base,0410_s42,0410,42,MERGED50_10b0ceb83529d707,43.67816091954023,56.32183908045977,1,16.129032258064516,83.87096774193549
base,0413_s42,0413,42,MERGED50_10c3dab533638a3e,20.73170731707317,79.26829268292683,0,20.73170731707317,79.26829268292683
base,0415_s42,0415,42,MERGED50_10d156496c62f5b7,43.75,56.25,1,13.750000000000002,86.25
base,0424_s42,0424,42,MERGED50_112f33da4a9441cd,14.942528735632186,85.05747126436782,0,14.942528735632186,85.05747126436782
base,0428_s42,0428,42,MERGED50_116a6e92ad46a67e,40.08438818565401,59.91561181434599,1,21.100917431192663,78.89908256880733
base,0450_s42,0450,42,MERGED50_1207fe9db2ff05dd,54.63917525773196,45.36082474226804,1,19.17808219178082,80.82191780821918
base,0455_s42,0455,42,MERGED50_123d19fb6b0f8511,30.0,70.0,1,16.24548736462094,83.75451263537906
base,0457_s42,0457,42,MERGED50_125b6c9c16a37158,14.545454545454545,85.45454545454545,0,14.545454545454545,85.45454545454545
