challenge_id,reference_sequence_id,id50_cluster_id,replicate_seed,positive_tasks,positive_task_count,reference_six_label_mean,proteinmpnn_six_label_mean,marslike_mpnn_six_label_mean,aggregate_delta,proteinmpnn_positive_label_mean,marslike_mpnn_positive_label_mean,positive_label_delta,proteinmpnn_distance_to_reference,marslike_mpnn_distance_to_reference,distance_delta,proteinmpnn_sequence_sha256,marslike_mpnn_sequence_sha256
FT0001,MERGED50_e392a251609663a2,MERGED_ID50_11da44ae3ef609276f35,42,desiccation,1,0.4961140950520833,0.6531473795572916,0.7201461791992188,0.06699879964192712,0.99609375,0.99853515625,0.00244140625,1.3530652465247077,1.0800464921470032,-0.2730187543777045,31ce0816ea637151b0eb971f97606a3089fc95683afdda9944639eba2eda7581,c55246b7f5f573e7fce89daea456080578a694b1bcc8347a57483ddc0a983c3c
FT0001,MERGED50_e392a251609663a2,MERGED_ID50_11da44ae3ef609276f35,43,desiccation,1,0.4961140950520833,0.587500254313151,0.71771240234375,0.130212148030599,0.99951171875,0.9951171875,-0.00439453125,1.363605665120955,1.1722326495862876,-0.19137301553466735,cda89acb41765a72fde7766a17937c9eaef4c56ace549a8a75f98f51c9b1f8ed,f1e4778be883945df4f12526f50bfcfd69d8a08c1285f36e1a3ba229cb239306
FT0001,MERGED50_e392a251609663a2,MERGED_ID50_11da44ae3ef609276f35,44,desiccation,1,0.4961140950520833,0.6370048522949219,0.6753641764322916,0.038359324137369755,1.0,0.99951171875,-0.00048828125,1.4145423657363168,1.292400640105574,-0.12214172563074266,0552c90caa45fb461d1253449c723278bb59f12f30d1559ba2d8ba991f471340,68bf4a764feab5e17db10531dbf9e2a8b5eb4c774e6923a629a74f4c8e398227
FT0002,MERGED50_184c161858b25131,MERGED_ID50_a127c86697655e34c96b,42,salt,1,0.4482154846191406,0.6472371419270834,0.659325917561849,0.012088775634765625,0.9931640625,0.978515625,-0.0146484375,1.8851330132398318,1.9242666336861545,0.039133620446322626,af3bc4bb7d135b5be30ad8547ca32a76036fcec52b1063eb9593c0442dfa830b,cf1412efa980af7ef6ce0d6df9015508167405d1f453726243543be6016e5f75
FT0002,MERGED50_184c161858b25131,MERGED_ID50_a127c86697655e34c96b,43,salt,1,0.4482154846191406,0.6479778289794922,0.6237564086914062,-0.024221420288085938,0.998046875,0.99853515625,0.00048828125,1.9133918386937292,1.850892595210351,-0.06249924348337821,0ef9a63ad4a82a437a799f82c7551318ac2a9a75c6e618910d68b984ed16512d,17dc99adb1536581750c1e44210ad55deade9569fcacd4c70657dc049255b2bd
FT0002,MERGED50_184c161858b25131,MERGED_ID50_a127c86697655e34c96b,44,salt,1,0.4482154846191406,0.6188608805338541,0.6016788482666016,-0.017182032267252567,0.99609375,0.59521484375,-0.40087890625,1.8476361452470855,1.9047569584337694,0.05712081318668383,075432cd64fec801d3ed07f59a980316ca630f60bad4bd56066062acb44971fa,5c77e64359836081169df1226abf3c1b028a52f3998e3410885f459735ac9335
FT0003,MERGED50_b1287543c8f7fff0,MERGED_ID50_1810e7e571785b2046ea,42,desiccation;oxidative,2,0.82904052734375,0.6781819661458334,0.82025146484375,0.14206949869791663,0.6632080078125,0.96484375,0.3016357421875,1.0436594315598111,0.12609951908948586,-0.9175599124703253,43080d6761e803c1fa26750477a7cfb30b92f73a7a67da5b599c6fb48122cd08,9c5c2593127c18bc2f759147c45613249b710a87834afe904b2a32c388fe500a
FT0003,MERGED50_b1287543c8f7fff0,MERGED_ID50_1810e7e571785b2046ea,43,desiccation;oxidative,2,0.82904052734375,0.539117177327474,0.67547607421875,0.136358896891276,0.6837158203125,0.946533203125,0.2628173828125,1.6481258538738648,0.9681535699863353,-0.6799722838875295,0f840bcb8a423b1e0c9308d801b71d3c05b6009b7d53bc5427799d115977fa16,b6cbcab2a36bce52e1a9faee5276059e924676e641453e42608c7c2246215ad3
FT0003,MERGED50_b1287543c8f7fff0,MERGED_ID50_1810e7e571785b2046ea,44,desiccation;oxidative,2,0.82904052734375,0.5254662831624349,0.6481730143229166,0.1227067311604817,0.698486328125,0.838134765625,0.1396484375,1.6071055630604156,0.8370293234083211,-0.7700762396520945,1d95aef27e1194713ff0a842ffbb2401b196ad19b040cc09cae2468714b52221,769e47ae3641074ffbcd3dbf9cf01a6e59ce8c0f21806dafc0c9e46cc9969ea4
FT0004,MERGED50_deb1e4a82457e5fa,MERGED_ID50_3d17267ae550a5d1a7dc,42,salt,1,0.7676595052083334,0.67333984375,0.69677734375,0.0234375,0.95361328125,0.97900390625,0.025390625,0.64050915298652,0.24955949120698506,-0.39094966177953494,e433f994541b65af38d50421cf8ea7d05fa50c4ad2117a16f541f370791971bf,b40629bd32151487bd4e38f4228ab935d9e3450a2943bc5e4c4bebce72491a47
